observed	predict
GCF_019662385.1_ASM1966238v1	coccus	coccus
GCF_019662395.1_ASM1966239v1	coccus	coccus
GCF_019662445.1_ASM1966244v1	coccus	coccus
GCF_019967715.1_ASM1996771v1	coccus	coccus
GCF_000813845.1_ASM81384v1	coccus	rod
GCF_003627535.1_ASM362753v1	coccus	rod
GCF_016918095.1_ASM1691809v1	coccus	rod
GCF_004134905.2_ASM413490v2	coccus	rod
GCF_000576085.2_ASM57608v2	coccus	coccus
GCF_000576185.2_ASM57618v2	coccus	coccus
GCF_001889445.1_ASM188944v1	coccus	coccus
GCF_001889465.1_ASM188946v1	coccus	coccus
GCF_001889525.1_ASM188952v1	coccus	coccus
GCF_001889545.1_ASM188954v1	coccus	coccus
GCF_004563965.1_ASM456396v1	coccus	coccus
GCF_014204815.1_ASM1420481v1	coccus	coccus
GCF_014644875.1_ASM1464487v1	coccus	coccus
GCF_000988655.1_ASM98865v1	coccus	coccus
GCF_000988685.1_ASM98868v1	coccus	coccus
GCF_000988705.1_ASM98870v1	coccus	coccus
GCF_000988725.2_ASM98872v2	coccus	coccus
GCF_000988745.2_ASM98874v3	coccus	coccus
GCF_001580365.1_ASM158036v1	coccus	coccus
GCF_014230055.1_ASM1423005v1	coccus	rod
GCF_000720335.1_ASM72033v1	coccus	rod
GCF_900187085.1_50624_E01	coccus	coccus
GCF_016907535.1_ASM1690753v1	coccus	rod
GCF_004136635.1_ASM413663v1	coccus	coccus
GCF_003002895.1_ASM300289v1	coccus	rod
GCF_001646865.1_rk21	coccus	coccus
GCF_001652875.1_ASM165287v1	coccus	coccus
GCF_001886265.1_ASM188626v1	coccus	coccus
GCF_002290025.1_ASM229002v1	coccus	coccus
GCF_016595555.1_ASM1659555v1	coccus	rod
GCF_003944745.1_ASM394474v1	coccus	rod
GCF_006438965.1_ASM643896v1	coccus	rod
GCF_001499615.1_Acetobacter_senegalensis_108B	coccus	coccus
GCF_001580995.1_ASM158099v1	coccus	coccus
GCF_002156945.1_ASM215694v1	coccus	coccus
GCF_009295745.1_ASM929574v1	coccus	coccus
GCF_001482365.1_ASM148236v1	coccus	coccus
GCF_007992135.1_ASM799213v1	coccus	coccus
GCF_001661675.2_ASM166167v2	coccus	rod
GCF_014211955.1_ASM1421195v1	coccus	rod
GCF_014205115.1_ASM1420511v1	coccus	coccus
GCF_006546935.1_ASM654693v1	coccus	coccus
GCF_018390555.1_ASM1839055v1	coccus	rod
GCF_009982895.1_ASM998289v1	coccus	coccus
GCF_002014825.1_ASM201482v1	coccus	coccus
GCF_001437605.1_ASM143760v1	coccus	coccus
GCF_019357475.1_ASM1935747v1	coccus	coccus
GCF_019357495.1_ASM1935749v1	coccus	coccus
GCF_002160355.1_ASM216035v1	coccus	rod
GCF_001553005.1_ASM155300v1	coccus	coccus
GCF_001021505.1_ASM102150v1	coccus	coccus
GCF_001666995.1_ASM166699v1	coccus	coccus
GCF_001672655.1_ASM167265v1	coccus	coccus
GCF_001673105.1_ASM167310v1	coccus	coccus
GCF_019645815.1_ASM1964581v1	coccus	coccus
GCF_002934625.1_ASM293462v1	coccus	rod
GCF_014647055.1_ASM1464705v1	coccus	coccus
GCF_001968835.1_ASM196883v1	coccus	rod
GCF_003355475.1_ASM335547v1	coccus	coccus
GCF_003994295.1_ASM399429v1	coccus	coccus
GCF_003253995.1_ASM325399v1	coccus	rod
GCF_000934465.1_ASM93446v1	coccus	coccus
GCF_002902635.1_ASM290263v1	coccus	coccus
GCF_900458705.1_50432_E01	coccus	coccus
GCF_001190945.1_ASM119094v1	coccus	rod
GCF_003035465.1_ASM303546v1	coccus	coccus
GCF_003035725.1_ASM303572v1	coccus	coccus
GCF_003035765.1_ASM303576v1	coccus	coccus
GCF_003035795.1_ASM303579v1	coccus	coccus
GCF_003035825.1_ASM303582v1	coccus	coccus
GCF_900458355.1_50305_E01	coccus	coccus
GCF_006715095.1_ASM671509v1	coccus	coccus
GCF_004136575.1_ASM413657v1	coccus	coccus
GCF_009734705.1_ASM973470v1	coccus	coccus
GCF_014054885.1_ASM1405488v1	coccus	rod
GCF_001653095.1_ASM165309v1	coccus	coccus
GCF_014191505.1_ASM1419150v1	coccus	coccus
GCF_014207605.1_ASM1420760v1	coccus	coccus
GCF_902506685.1_Q0888	coccus	coccus
GCF_001998885.1_ASM199888v1	coccus	coccus
GCF_003987515.1_ASM398751v1	coccus	coccus
GCF_002563695.1_ASM256369v1	coccus	rod
GCF_002936955.1_ASM293695v1	coccus	rod
GCF_001418105.1_ASM141810v1	coccus	rod
GCF_013408925.1_ASM1340892v1	coccus	coccus
GCF_002117405.1_ASM211740v1	coccus	rod
GCF_007829035.1_ASM782903v1	coccus	coccus
GCF_001408335.1_Draft_genome_of_Kocuria_salsicia_G1	coccus	coccus
GCF_007681705.1_ASM768170v1	coccus	coccus
GCF_018127725.1_ASM1812772v1	coccus	coccus
GCF_903994065.1_CIP111751	coccus	coccus
GCF_017873755.1_ASM1787375v1	coccus	coccus
GCF_903994055.1_CIP111750	coccus	coccus
GCF_002954325.1_ASM295432v1	coccus	rod
GCF_000709345.1_Polaromonas_sp.	coccus	rod
GCF_014385405.1_ASM1438540v1	coccus	rod
GCF_014645795.1_ASM1464579v1	coccus	rod
GCF_014652255.1_ASM1465225v1	coccus	rod
GCF_001953075.1_ASM195307v1	coccus	rod
GCF_014652275.1_ASM1465227v1	coccus	rod
GCF_016863175.1_ASM1686317v1	coccus	rod
GCF_001642875.1_ASM164287v1	coccus	rod
GCF_014645575.1_ASM1464557v1	coccus	coccus
GCF_014645595.1_ASM1464559v1	coccus	coccus
GCF_000737185.1_ASM73718v1	coccus	coccus
GCF_001442815.2_ASM144281v3	coccus	coccus
GCF_002114335.1_ASM211433v1	coccus	coccus
GCF_002114365.1_ASM211436v1	coccus	coccus
GCF_002994085.1_ASM299408v1	coccus	coccus
GCF_002994105.1_ASM299410v1	coccus	coccus
GCF_002994125.1_ASM299412v1	coccus	coccus
GCF_002994145.1_ASM299414v1	coccus	coccus
GCF_002994165.1_ASM299416v1	coccus	coccus
GCF_003040875.1_ASM304087v1	coccus	coccus
GCF_003040895.1_ASM304089v1	coccus	coccus
GCF_003040915.1_ASM304091v1	coccus	coccus
GCF_003040935.1_ASM304093v1	coccus	coccus
GCF_003040955.1_ASM304095v1	coccus	coccus
GCF_003041195.1_ASM304119v1	coccus	coccus
GCF_003041215.1_ASM304121v1	coccus	coccus
GCF_007097565.1_ASM709756v1	coccus	coccus
GCF_007814015.1_ASM781401v1	coccus	coccus
GCF_012029345.1_ASM1202934v1	coccus	coccus
GCF_012029355.1_ASM1202935v1	coccus	coccus
GCF_012029365.1_ASM1202936v1	coccus	coccus
GCF_012029415.1_ASM1202941v1	coccus	coccus
GCF_902825405.1_DSM_45782	coccus	rod
GCF_007474605.1_ASM747460v1	coccus	rod
GCF_016862715.1_ASM1686271v1	coccus	rod
GCF_004364645.1_ASM436464v1	coccus	rod
GCF_006716305.1_ASM671630v1	coccus	coccus
GCF_001687605.2_ASM168760v2	coccus	rod
GCF_001431045.1_ASM143104v1	coccus	coccus
GCF_004365555.1_ASM436555v1	coccus	coccus
GCF_012222965.1_ASM1222296v1	coccus	coccus
GCF_002959935.1_ASM295993v1	coccus	coccus
GCF_005403165.1_ASM540316v1	coccus	coccus
GCF_005403265.1_ASM540326v1	coccus	coccus
GCF_002355215.1_ASM235521v1	coccus	coccus
GCF_004341245.1_ASM434124v1	coccus	rod
GCF_014905395.1_ASM1490539v1	coccus	coccus
GCF_016919665.1_ASM1691966v1	coccus	coccus
GCF_017068355.1_ASM1706835v1	coccus	coccus
GCF_009933255.1_ASM993325v1	coccus	coccus
GCF_014397255.1_ASM1439725v1	coccus	coccus
GCF_003095415.1_ASM309541v1	coccus	coccus
GCF_014490485.1_ASM1449048v1	coccus	rod
GCF_016642415.1_ASM1664241v1	coccus	coccus
GCF_019334785.1_ASM1933478v1	coccus	coccus
GCF_004365635.1_ASM436563v1	coccus	rod
GCF_013409935.1_ASM1340993v1	coccus	rod
GCF_014635985.1_ASM1463598v1	coccus	coccus
GCF_017874975.1_ASM1787497v1	coccus	coccus
GCF_013409065.1_ASM1340906v1	coccus	rod
GCF_001997345.1_ASM199734v1	coccus	rod
GCF_001956985.1_ASM195698v1	coccus	rod
GCF_004364585.1_ASM436458v1	coccus	coccus
GCF_019132845.1_ASM1913284v1	coccus	rod
GCF_004761865.1_ASM476186v1	coccus	rod
GCF_014927295.1_ASM1492729v1	coccus	coccus
GCF_018257035.1_ASM1825703v1	coccus	coccus
GCF_900289255.1_Le_suionicum_CECT_8486_Spades_Prokka	coccus	coccus
GCF_000751855.1_Kingella_negevensis	coccus	coccus
GCF_900182485.2_keburonensis	coccus	coccus
GCF_014640175.1_ASM1464017v1	coccus	rod
GCF_008107445.1_ASM810744v1	coccus	coccus
GCF_017883985.1_ASM1788398v1	coccus	coccus
GCF_001580015.1_ASM158001v1	coccus	rod
GCF_001580045.1_ASM158004v1	coccus	coccus
GCF_004123295.1_ASM412329v1	coccus	rod
GCF_014109725.1_ASM1410972v1	coccus	rod
GCF_001984705.1_ASM198470v1	coccus	coccus
GCF_001984715.1_ASM198471v1	coccus	coccus
GCF_001984745.1_ASM198474v1	coccus	coccus
GCF_000964005.1_WiARP1.0	coccus	rod
GCF_001005215.1_ASM100521v1	coccus	rod
GCF_001932615.1_ASM193261v1	coccus	coccus
GCF_901447155.2_PRJEB32391	coccus	coccus
GCF_014201885.1_ASM1420188v1	coccus	coccus
GCF_008014775.1_ASM801477v1	coccus	rod
GCF_012843505.1_ASM1284350v1	coccus	coccus
GCF_001482405.1_ASM148240v1	coccus	rod
GCF_002209385.1_ASM220938v1	coccus	rod
GCF_002923755.1_ASM292375v1	coccus	rod
GCF_001927285.1_ASM192728v1	coccus	rod
GCF_001458295.1_Ruegeria_sp._CECT5091_Spades_Prokka	coccus	rod
GCF_014646195.1_ASM1464619v1	coccus	rod
GCF_014646215.1_ASM1464621v1	coccus	rod
GCF_017152025.1_ASM1715202v1	coccus	coccus
GCF_001507665.1_ASM150766v1	coccus	coccus
GCF_003206515.1_ASM320651v1	coccus	coccus
GCF_002026305.1_ASM202630v1	coccus	coccus
GCF_014636095.1_ASM1463609v1	coccus	coccus
GCF_000367945.1_Acin_sp_NIPH_809_V1	coccus	coccus
GCF_001753605.1_ASM175360v1	coccus	coccus
GCF_002835245.1_ASM283524v1	coccus	coccus
GCF_000399705.1_Acin_pitt_ANC_4052_V1	coccus	coccus
GCF_001415555.1_ASM141555v1	coccus	coccus
GCF_001595745.1_ASM159574v2	coccus	coccus
GCF_001605885.1_ASM160588v1	coccus	coccus
GCF_002076935.1_ASM207693v1	coccus	coccus
GCF_003947665.1_ASM394766v1	coccus	coccus
GCF_003948005.1_ASM394800v1	coccus	coccus
GCF_013346355.1_ASM1334635v1	coccus	coccus
GCF_013346425.1_ASM1334642v1	coccus	coccus
GCF_013346475.1_ASM1334647v1	coccus	coccus
GCF_016502365.1_ASM1650236v1	coccus	coccus
GCF_001704115.1_ASM170411v1	coccus	coccus
GCF_014190805.1_ASM1419080v1	coccus	coccus
GCF_001598055.1_ASM159805v1	coccus	rod
GCF_014230085.1_ASM1423008v1	coccus	rod
GCF_011397115.1_ASM1139711v1	coccus	coccus
GCF_001605895.1_ASM160589v1	coccus	coccus
GCF_001598035.1_ASM159803v1	coccus	coccus
GCF_900184895.1_L.marina_CECT8899_Spades_Prokka	coccus	rod
GCF_001623565.1_ASM162356v1	coccus	coccus
GCF_001953175.1_ASM195317v1	coccus	coccus
GCF_014648095.1_ASM1464809v1	coccus	coccus
GCF_003719725.1_ASM371972v1	coccus	rod
GCF_014640635.1_ASM1464063v1	coccus	coccus
GCF_014652735.1_ASM1465273v1	coccus	coccus
GCF_008369105.1_ASM836910v1	coccus	rod
GCF_006438825.1_ASM643882v1	coccus	rod
GCF_001832905.1_ASM183290v1	coccus	coccus
GCF_001832885.1_ASM183288v1	coccus	coccus
GCF_011299095.1_ASM1129909v1	coccus	coccus
GCF_011100465.1_ASM1110046v1	coccus	coccus
GCF_001704615.3_ASM170461v3	coccus	coccus
GCF_005780245.1_ASM578024v1	coccus	rod
GCF_001708305.1_ASM170830v1	coccus	coccus
GCF_004761875.1_ASM476187v1	coccus	rod
GCF_001707755.1_ASM170775v1	coccus	coccus
GCF_012932215.1_ASM1293221v1	coccus	rod
GCF_001719615.1_ASM171961v1	coccus	rod
GCF_002197845.1_ASM219784v1	coccus	rod
GCF_003056725.1_ASM305672v1	coccus	rod
GCF_003402615.1_ASM340261v1	coccus	coccus
GCF_004346095.1_ASM434609v1	coccus	coccus
GCF_009730955.1_ASM973095v1	coccus	coccus
GCF_009730975.1_ASM973097v1	coccus	coccus
GCF_009730995.1_ASM973099v1	coccus	coccus
GCF_009731015.1_ASM973101v1	coccus	coccus
GCF_009731115.1_ASM973111v1	coccus	coccus
GCF_009731135.1_ASM973113v1	coccus	coccus
GCF_009731155.1_ASM973115v1	coccus	coccus
GCF_009731175.1_ASM973117v1	coccus	coccus
GCF_009731275.1_ASM973127v1	coccus	coccus
GCF_009731295.1_ASM973129v1	coccus	coccus
GCF_009731315.1_ASM973131v1	coccus	coccus
GCF_002167005.1_ASM216700v1	coccus	rod
GCF_006175985.1_ASM617598v1	coccus	rod
GCF_002201235.1_ASM220123v1	coccus	rod
GCF_001936475.1_ASM193647v1	coccus	rod
GCF_013368965.1_ASM1336896v1	coccus	coccus
GCF_002108505.1_ASM210850v1	coccus	coccus
GCF_002108535.1_ASM210853v1	coccus	coccus
GCF_002108545.1_ASM210854v1	coccus	coccus
GCF_007855275.1_ASM785527v1	coccus	coccus
GCF_013179615.1_ASM1317961v1	coccus	coccus
GCF_012396585.1_ASM1239658v1	coccus	coccus
GCF_002154895.1_ASM215489v1	coccus	coccus
GCF_009662295.1_ASM966229v1	coccus	coccus
GCF_011365145.1_ASM1136514v1	coccus	coccus
GCF_011365185.1_ASM1136518v1	coccus	coccus
GCF_011365195.1_ASM1136519v1	coccus	coccus
GCF_015667625.1_ASM1566762v1	coccus	coccus
GCF_015669815.1_ASM1566981v1	coccus	coccus
GCF_016620445.1_ASM1662044v1	coccus	coccus
GCF_018348575.1_ASM1834857v1	coccus	coccus
GCF_900162825.1_Psychrobacter_piechaudii_CIP110854_assembly	coccus	coccus
GCF_002157465.1_ASM215746v1	coccus	rod
GCF_002105555.1_ASM210555v1	coccus	rod
GCF_003605475.1_ASM360547v1	coccus	rod
GCF_002874775.1_ASM287477v1	coccus	rod
GCF_900183575.1_SAMEA104055222	coccus	coccus
GCF_015556285.1_ASM1555628v1	coccus	rod
GCF_002260845.1_ASM226084v1	coccus	coccus
GCF_002287065.1_ASM228706v1	coccus	rod
GCF_003718735.1_ASM371873v1	coccus	coccus
GCF_014644275.1_ASM1464427v1	coccus	rod
GCF_003052295.1_ASM305229v1	coccus	coccus
GCF_003008695.1_ASM300869v1	coccus	coccus
GCF_003428165.1_ASM342816v1	coccus	coccus
GCF_014643575.1_ASM1464357v1	coccus	coccus
GCF_003024515.2_ASM302451v2	coccus	coccus
GCF_003367905.1_ASM336790v1	coccus	coccus
GCF_016900675.1_ASM1690067v1	coccus	coccus
GCF_003067705.1_ASM306770v1	coccus	rod
GCF_003116835.1_ASM311683v1	coccus	coccus
GCF_003086355.1_ASM308635v2	coccus	coccus
GCF_003429025.1_ASM342902v1	coccus	coccus
GCF_003429035.1_ASM342903v1	coccus	coccus
GCF_003185655.1_ASM318565v1	coccus	rod
GCF_003595215.1_ASM359521v1	coccus	coccus
GCF_003130585.1_ASM313058v1	coccus	rod
GCF_003173015.1_ASM317301v1	coccus	coccus
GCF_003258945.1_ASM325894v1	coccus	rod
GCF_003344635.1_ASM334463v1	coccus	rod
GCF_004153545.1_ASM415354v1	coccus	rod
GCF_003583935.1_ASM358393v1	coccus	rod
GCF_003594885.1_ASM359488v1	coccus	rod
GCF_003627095.1_ASM362709v1	coccus	coccus
GCF_003611975.1_ASM361197v1	coccus	coccus
GCF_003696345.1_ASM369634v1	coccus	coccus
GCF_003797835.1_ASM379783v1	coccus	coccus
GCF_003946695.1_ASM394669v1	coccus	rod
GCF_003860465.1_ASM386046v1	coccus	coccus
GCF_900631945.1_aCIP1116241.1	coccus	rod
GCF_003609995.1_ASM360999v1	coccus	rod
GCF_007860175.1_ASM786017v1	coccus	coccus
GCF_007860125.1_ASM786012v1	coccus	rod
GCF_004634215.1_ASM463421v1	coccus	coccus
GCF_005405205.1_ASM540520v1	coccus	coccus
GCF_005405225.1_ASM540522v1	coccus	coccus
GCF_005405265.1_ASM540526v1	coccus	coccus
GCF_014050145.1_ASM1405014v1	coccus	rod
GCF_003397585.1_ASM339758v1	coccus	coccus
GCF_003293675.1_ASM329367v1	coccus	coccus
GCF_003397705.1_ASM339770v1	coccus	coccus
GCF_000157115.2_Escherichia_sp_3_2_53FAA_V2	rod	rod
GCF_003751635.1_ASM375163v1	rod	rod
GCF_003439315.1_ASM343931v1	rod	rod
GCF_002075885.1_ASM207588v1	rod	rod
GCF_003116585.1_ASM311658v1	rod	rod
GCF_003073175.1_ASM307317v1	rod	rod
GCF_001747495.1_ASM174749v1	rod	rod
GCF_003385925.1_ASM338592v1	rod	rod
GCF_002911695.1_ASM291169v1	rod	rod
GCF_003667545.1_ASM366754v1	rod	rod
GCF_000688515.1_ASM68851v1	rod	rod
GCF_003129485.1_ASM312948v1	rod	rod
GCF_009939005.1_ASM993900v1	rod	rod
GCF_000374125.1_ASM37412v1	rod	rod
GCF_000620125.1_ASM62012v1	rod	rod
GCF_000772955.1_ASM77295v1	rod	rod
GCF_003173035.1_ASM317303v1	rod	rod
GCF_000944695.1_assembly_v1	rod	rod
GCF_018860855.1_ASM1886085v1	rod	rod
GCF_003316845.1_ASM331684v1	rod	rod
GCF_018156225.1_ASM1815622v1	rod	rod
GCF_002312815.1_ASM231281v1	rod	rod
GCF_001573155.1_ASM157315v1	rod	rod
GCF_001043915.1_ASM104391v1	rod	rod
GCF_007995015.1_ASM799501v1	rod	rod
GCF_900070355.1_S2_rcS3_S1_rcS3	rod	rod
GCF_000276805.1_ASM27680v1	rod	rod
GCF_000421145.1_ASM42114v1	rod	rod
GCF_003097615.1_ASM309761v1	rod	rod
GCF_002933875.1_ASM293387v1	rod	rod
GCF_001907295.1_ASM190729v1	rod	rod
GCF_000621505.1_ASM62150v1	rod	rod
GCF_008369445.1_ASM836944v1	rod	rod
GCF_005144965.1_ASM514496v1	rod	rod
GCF_001562425.1_ASM156242v1	rod	rod
GCF_001592935.1_ASM159293v1	rod	rod
GCF_000429005.1_ASM42900v1	rod	rod
GCF_016595435.1_ASM1659543v1	rod	rod
GCF_009856625.1_ASM985662v1	rod	rod
GCF_000737325.1_ASM73732v2	rod	rod
GCF_000299915.1_ASM29991v1	rod	rod
GCF_002162355.1_ASM216235v1	rod	rod
GCF_003234965.1_ASM323496v1	rod	rod
GCF_002105285.1_ASM210528v1	rod	rod
GCF_000258495.1_PB92_1.0	rod	rod
GCF_015548015.1_ASM1554801v1	rod	rod
GCF_002218005.2_ASM221800v2	rod	rod
GCF_003340305.1_ASM334030v1	rod	rod
GCF_001405515.1_14207_7_69	rod	rod
GCF_000425185.1_ASM42518v1	rod	rod
GCF_003991355.1_ASM399135v1	rod	rod
GCF_001617605.1_ASM161760v1	rod	rod
GCF_017051695.1_ASM1705169v1	rod	rod
GCF_001046895.1_ASM104689v1	rod	coccus
GCF_004307415.1_ASM430741v1	rod	rod
GCF_004310685.1_ASM431068v1	rod	rod
GCF_014640155.1_ASM1464015v1	rod	rod
GCF_001552615.1_ASM155261v1	rod	rod
GCF_014235875.1_ASM1423587v1	rod	rod
GCF_002872085.1_ASM287208v1	rod	rod
GCF_009827395.1_ASM982739v1	rod	rod
GCF_001202015.1_ASM120201v1	rod	rod
GCF_000153305.1_ASM15330v1	rod	rod
GCF_009765695.1_ASM976569v1	rod	rod
GCF_004366355.1_ASM436635v1	rod	rod
GCF_000230695.2_ASM23069v3	rod	rod
GCF_003433795.1_ASM343379v1	rod	rod
GCF_019966495.1_ASM1996649v1	rod	rod
GCF_000601455.1_Fervidicella_assembly	rod	rod
GCF_003751385.1_ASM375138v1	rod	rod
GCF_001418015.1_ASM141801v1	rod	rod
GCF_000426625.1_ASM42662v1	rod	rod
GCF_002860325.1_ASM286032v1	rod	rod
GCF_000233495.1_Pseudomonas_sp_2_1_26_V1	rod	rod
GCF_003217355.1_ASM321735v1	rod	rod
GCF_001403775.1_Dermabacter_indicis	rod	rod
GCF_000315035.1_ASM31503v1	rod	rod
GCF_000022565.1_ASM2256v1	rod	rod
GCF_007827555.1_ASM782755v1	rod	rod
GCF_002899715.1_ASM289971v1	rod	rod
GCF_004339765.1_ASM433976v1	rod	rod
GCF_002798435.1_ASM279843v1	rod	rod
GCF_003352165.1_ASM335216v1	rod	rod
GCF_000953715.1_DTL3	rod	rod
GCF_000280055.1_ASM28005v1	rod	rod
GCF_000697575.1_ASM69757v1	rod	rod
GCF_005870085.1_ASM587008v1	rod	rod
GCF_001182895.1_ASM118289v1	rod	rod
GCF_013376135.1_ASM1337613v1	rod	rod
GCF_014651915.1_ASM1465191v1	rod	rod
GCF_003261555.1_ASM326155v1	rod	rod
GCF_003858455.1_ASM385845v1	rod	rod
GCF_009646335.1_ASM964633v1	rod	rod
GCF_002868715.1_ASM286871v1	rod	rod
GCF_000023465.1_ASM2346v1	rod	rod
GCF_003628535.1_ASM362853v1	rod	rod
GCF_002201475.1_ASM220147v1	rod	rod
GCF_010723575.1_ASM1072357v1	rod	coccus
GCF_001678905.1_ASM167890v1	rod	rod
GCF_001310955.1_ASM131095v1	rod	rod
GCF_018967645.1_ASM1896764v1	rod	rod
GCF_000981765.1_ASM98176v1	rod	rod
GCF_000376225.1_ASM37622v1	rod	rod
GCF_003008535.1_ASM300853v1	rod	rod
GCF_001752345.1_ASM175234v1	rod	rod
GCF_002207765.1_ASM220776v1	rod	rod
GCF_004010055.1_ASM401005v1	rod	rod
GCF_014202825.1_ASM1420282v1	rod	rod
GCF_005049105.1_ASM504910v1	rod	rod
GCF_003732435.1_ASM373243v1	rod	rod
GCF_009827405.1_ASM982740v1	rod	rod
GCF_000520015.2_ASM52001v2	rod	rod
GCF_003063455.1_ASM306345v1	rod	rod
GCF_002946355.1_ASM294635v1	rod	rod
GCF_000020725.1_ASM2072v1	rod	rod
GCF_012221945.1_ASM1222194v1	rod	coccus
GCF_000242235.1_Lach_bact_ACC2_V1	rod	rod
GCF_013761005.1_ASM1376100v1	rod	rod
GCF_004331955.1_ASM433195v1	rod	rod
GCF_000255455.1_ASM25545v1	rod	rod
GCF_000178835.2_ASM17883v2	rod	rod
GCF_003852715.1_ASM385271v1	rod	rod
GCF_014349155.1_ASM1434915v1	rod	rod
GCF_000686045.1_ASM68604v1	rod	rod
GCF_001053655.1_ASM105365v1	rod	rod
GCF_002834295.1_ASM283429v1	rod	rod
GCF_011762095.1_ASM1176209v1	rod	rod
GCF_000599985.1_ASM59998v1	rod	rod
GCF_014647535.1_ASM1464753v1	rod	rod
GCF_001730235.1_ASM173023v1	rod	rod
GCF_001297245.1_ASM129724v1	rod	rod
GCF_006861795.1_ASM686179v1	rod	rod
GCF_000429345.1_ASM42934v1	rod	rod
GCF_016595415.1_ASM1659541v1	rod	rod
GCF_001598235.1_ASM159823v1	rod	rod
GCF_000420025.1_ASM42002v1	rod	rod
GCF_003324485.1_ASM332448v1	rod	rod
GCF_003217255.1_ASM321725v1	rod	rod
GCF_003008515.1_ASM300851v1	rod	rod
GCF_014205685.1_ASM1420568v1	rod	rod
GCF_000442255.1_Salmuc	rod	rod
GCF_003458565.1_ASM345856v1	rod	rod
GCF_008124865.1_ASM812486v1	rod	rod
GCF_000220155.1_ASM22015v2	rod	rod
GCF_000826125.2_ASM82612v2	rod	rod
GCF_002998925.1_ASM299892v1	rod	coccus
GCF_000513135.1_ASM51313v1	rod	rod
GCF_014642675.1_ASM1464267v1	rod	coccus
GCF_007997295.1_ASM799729v1	rod	rod
GCF_000194605.1_ASM19460v1	rod	rod
GCF_000224785.1_ASM22478v2	rod	rod
GCF_002514735.1_ASM251473v1	rod	rod
GCF_003725335.1_ASM372533v1	rod	rod
GCF_007644035.1_ASM764403v2	rod	rod
GCF_003387475.1_ASM338747v1	rod	rod
GCF_007991195.1_ASM799119v1	rod	rod
GCF_002282855.1_ASM228285v1	rod	rod
GCF_000296695.1_ASM29669v1	rod	rod
GCF_004361875.1_ASM436187v1	rod	rod
GCF_001543875.1_ASM154387v1	rod	rod
GCF_002270055.1_ASM227005v1	rod	rod
GCF_002008225.1_ASM200822v1	rod	rod
GCF_001642575.1_Xfloridensis_v1.0	rod	rod
GCF_000473895.1_KS51_v1	rod	rod
GCF_000177215.2_ASM17721v2	rod	rod
GCF_014656415.1_ASM1465641v1	rod	rod
GCF_000380505.1_ASM38050v1	rod	rod
GCF_900453235.1_50618_G01	rod	rod
GCF_000241265.1_ASM24126v2	rod	rod
GCF_000711735.1_ASM71173v1	rod	rod
GCF_000348785.1_ASM34878v1	rod	rod
GCF_003691585.1_ASM369158v1	rod	rod
GCF_000714795.1_Ery_DSM_8509_v1	rod	rod
GCF_003710935.1_ASM371093v1	rod	rod
GCF_003317055.1_ASM331705v1	rod	rod
GCF_003148745.1_ASM314874v1	rod	rod
GCF_003253705.1_ASM325370v1	rod	rod
GCF_002108605.1_ASM210860v1	rod	coccus
GCF_015999265.1_ASM1599926v1	rod	rod
GCF_001431405.1_ASM143140v1	rod	rod
GCF_000733475.1_ASM73347v1	rod	rod
GCF_001029145.1_ASM102914v1	rod	rod
GCF_002128425.1_ASM212842v1	rod	rod
GCF_000585655.1_Ochant_v5	rod	rod
GCF_002201795.1_ASM220179v1	rod	rod
GCF_000473365.1_ASM47336v1	rod	rod
GCF_003967035.1_ASM396703v1	rod	rod
GCF_002514725.1_ASM251472v1	rod	rod
GCF_001687545.1_ASM168754v1	rod	rod
GCF_003314995.1_ASM331499v1	rod	rod
GCF_003129465.1_ASM312946v1	rod	rod
GCF_011765625.1_ASM1176562v1	rod	rod
GCF_000380985.1_ASM38098v1	rod	rod
GCF_001886615.1_ASM188661v1	rod	rod
GCF_002251225.2_ASM225122v2	rod	rod
GCF_014199215.1_ASM1419921v1	rod	rod
GCF_003171655.1_ASM317165v1	rod	rod
GCF_013388295.1_ASM1338829v1	rod	rod
GCF_003002095.1_ASM300209v1	rod	rod
GCF_001999945.1_ASM199994v1	rod	rod
GCF_015732155.1_ASM1573215v1	rod	rod
GCF_003402575.1_ASM340257v1	rod	rod
GCF_000559085.1_ASM55908v2	rod	coccus
GCF_003355495.1_ASM335549v1	rod	rod
GCF_014641635.1_ASM1464163v1	rod	rod
GCF_000380485.1_ASM38048v1	rod	rod
GCF_002964965.1_ASM296496v1	rod	rod
GCF_002221595.1_ASM222159v1	rod	rod
GCF_002607735.1_ASM260773v1	rod	rod
GCF_003171675.1_ASM317167v1	rod	rod
GCF_004341235.1_ASM434123v1	rod	rod
GCF_007751035.1_ASM775103v1	rod	rod
GCF_014651455.1_ASM1465145v1	rod	rod
GCF_006716675.1_ASM671667v1	rod	rod
GCF_018304965.1_ASM1830496v1	rod	rod
GCF_004363315.1_ASM436331v1	rod	rod
GCF_900461525.1_50618_A02	rod	rod
GCF_000331535.1_Fulvivirga_imtechensis_Genome_Sequencing	rod	rod
GCF_001601575.1_ASM160157v1	rod	rod
GCF_008831265.1_ASM883126v1	rod	rod
GCF_007991975.1_ASM799197v1	rod	rod
GCF_009649735.1_ASM964973v1	rod	rod
GCF_000423345.1_ASM42334v1	rod	rod
GCF_003688405.1_ASM368840v1	rod	rod
GCF_015319355.1_ASM1531935v1	rod	rod
