Orthogroup	Actinidia_chinensis	Aegilops_tauschii	Arabidopsis_thaliana	Brachypodium_distachyon	Brassica_napus	Brassica_oleracea	Brassica_rapa	Cajanus_cajan	Capsella_rubella	Capsicum_annuum	Chenopodium_quinoa	Cicer_arietinum	Citrullus_lanatus	Citrus_trifoliata	Cocos_nucifera	Cucumis_sativus	Cucurbita_moschata	Daucus_carota	Elaeis_guineensis	Eucalyptus_grandis	Eustoma_grandiflorum	Fagopyrum_esculentum	Fragaria_vesca	Glycine_soja	Helianthus_annuus	Hordeum_vulgare	Lactuca_sativa	Linum_usitatissimum	Lotus_japonicus	Manihot_esculenta	Marchantia_paleacea	Medicago_truncatula	Musa_acuminata	Musa_balbisiana	Nicotiana_benthamiana	Oryza_sativa	Panax_ginseng	Phaseolus_vulgaris	Phoenix_dactylifera	Poncirus_trifoliata	Populus_trichocarpa	Ricinus_communis	Sesamum_indicum	Setaria_italica	Solanum_lycopersicum	Solanum_pennellii	Solanum_tuberosum	Sorghum_bicolor	Trifolium_pratense	Triticum_aestivum	Triticum_turgidum	Triticum_urartu	Vigna_radiata	Vitis_vinifera	Zea_mays	Adiantum_capillusveneris	Alsophila_spinulosa	Amaranthus_hybridus	Amborella_trichopoda	Ananas_comosus	Apostasia_shenzhenica	Arabidopsis_halleri	Arabidopsis_lyrata	Arachis_hypogaea	Azolla_filiculoides	Boechera_stricta	Brassica_cretica	Brassica_juncea	Brassica_rapa_FPsc	Camelina_sativa_Acsn226	Camelina_sativa_Ames1043	Camelina_sativa_Borowska	Camelina_sativa_CAM116	Camelina_sativa_CAM70	Camelina_sativa_CN113611	Camelina_sativa_Giessen4	Camelina_sativa_Joelle	Camelina_sativa_Licalla	Camelina_sativa_Lindo	Camelina_sativa_Prytzh	Camelina_sativa_Svalof	Capsella_grandiflora	Cardamine_enshiensis	Carica_papaya	Castanea_mollissima	Cephalotus_follicularis	Ceratodon_purpureus	Ceratopteris_richardii	Chara_braunii	Chlamydomonas_reinhardii	Citrus_sinensis	Crambe_hispanica	Cucumis_melo	Dendrobium_catenatum	Descurainia_sophioides	Diptychocarpus_strictus	Ectocarpus_siliculosus	Eruca_vesicaria	Euclidium_syriacum	Eutrema_salsugineum	Ginkgo_biloba	Glycine_max	Gossypium_raimondii	Iberis_amara	Isatis_tinctoria	Klebsormidium_nitens	Lens_culinaris	Lens_ervoides	Lobularia_maritima	Lunaria_annua	Lupinus_angustifolius	Malcolmia_maritima	Malus_domestica	Marchantia_polymorpha	Marsilea_vestita	Megacarpaea_delavayi	Megadenia_pygmaea	Metasequoia_glyptostroboides	Morus_notabilis	Nelumbo_nucifera	Orychophragmus_violaceus	Physcomitrella_patens	Prunus_persica	Rosa_chinensis	Salvinia_cucullata	Schrenkiella_parvula	Selaginella_moellendorffii	Sinapis_alba	Sphagnum_fallax	Spinacia_oleracea	Spirodela_polyrhiza	Tarenaya_hassleriana	Thlaspi_arvense	Thlaspi_arvense_var_AK34W	Thlaspi_arvense_var_Ames_32873	Thlaspi_arvense_var_LorettoMN	Thlaspi_arvense_var_MN106	Thlaspi_arvense_var_MN134	Thlaspi_arvense_var_PI650286	Vicia_faba	Zostera_marina
OG0004031	1	1	4	1	5	3	3	4	3	2	2	3	1	1	1	1	1	4	1	1	1	1	1	11	2	1	4	3	4	1	0	6	3	1	1	1	5	3	1	1	1	1	2	1	2	2	4	1	7	3	2	3	3	1	1	4	7	1	1	1	1	2	3	10	3	4	2	6	3	9	9	9	9	9	9	9	9	9	9	9	9	3	6	1	3	0	0	3	0	0	1	3	1	1	3	3	0	4	3	3	8	12	2	2	11	0	4	4	2	3	4	3	2	0	4	1	3	12	2	4	3	0	2	1	2	3	1	3	0	1	1	1	3	3	3	3	3	3	3	7	0
OG0004032	4	1	2	1	6	3	3	1	2	2	2	1	2	2	1	2	3	4	2	2	3	3	3	4	4	1	4	4	1	3	1	1	3	1	4	1	5	2	1	2	3	2	3	1	2	2	2	1	2	3	2	3	2	2	1	1	4	1	1	1	2	2	2	4	2	2	1	6	3	6	6	6	6	6	6	6	6	6	6	6	6	2	6	2	2	2	2	1	1	1	2	3	2	3	2	3	2	4	2	2	2	6	8	3	10	2	1	1	3	5	2	2	4	1	3	2	2	2	2	2	4	1	4	3	2	2	1	7	2	1	1	2	2	2	2	2	2	2	2	1	1
OG0004033	4	2	2	2	2	1	1	1	2	1	2	2	1	1	3	2	4	1	3	1	4	2	1	4	2	3	2	4	1	2	1	2	9	2	5	2	4	2	3	1	2	2	2	2	2	2	0	1	2	6	2	5	2	2	2	2	1	2	1	1	1	2	2	2	3	3	2	3	1	9	7	7	9	8	9	9	9	9	9	8	9	2	12	2	3	1	3	1	1	1	2	2	2	2	3	2	1	3	2	2	1	4	3	4	5	1	2	2	3	3	3	2	3	1	1	5	2	2	1	2	3	3	4	2	1	2	3	4	2	1	1	1	2	2	2	2	2	2	2	4	1
OG0004034	3	2	2	2	5	3	3	1	2	1	2	1	1	1	2	1	2	3	2	2	3	1	2	3	1	2	5	4	1	2	1	2	6	2	3	1	4	1	2	1	1	1	2	2	2	2	3	3	2	7	4	6	1	2	2	2	1	2	2	2	1	2	7	3	1	3	3	6	3	7	7	7	8	7	7	6	7	8	7	7	7	2	4	1	1	1	1	1	1	1	1	3	1	1	2	1	1	5	2	2	1	3	2	3	23	1	5	2	2	3	2	2	2	1	3	4	2	2	2	1	5	1	4	6	1	2	1	4	2	2	1	2	2	2	2	2	2	2	2	3	2
OG0004035	1	2	1	5	4	2	1	2	1	2	4	1	2	1	1	2	4	2	1	1	2	1	1	3	1	2	1	2	2	3	1	3	9	3	3	2	4	2	1	1	1	2	2	3	2	2	2	2	2	8	4	7	2	1	1	8	1	2	1	1	1	1	1	5	2	1	2	3	2	3	3	3	3	3	3	3	3	3	3	3	3	1	2	1	1	1	5	2	1	1	1	2	1	2	1	2	1	3	2	2	2	3	7	3	2	1	7	7	2	2	2	1	2	1	2	2	1	1	1	1	2	1	4	2	2	1	2	2	2	1	2	2	1	1	1	1	1	1	1	1	2
OG0004036	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	56	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0004037	4	2	1	1	6	3	3	1	1	2	2	1	1	1	3	1	2	2	1	1	4	2	1	3	2	4	1	2	1	1	1	2	6	2	5	2	5	1	2	1	2	1	4	2	1	1	2	2	1	8	5	6	1	2	2	3	1	2	2	1	1	1	1	2	1	1	3	6	3	3	3	3	3	3	4	3	3	3	3	3	3	1	2	2	2	1	2	1	1	2	1	3	1	1	1	1	2	4	1	1	1	5	2	2	4	1	1	2	2	2	2	1	4	1	1	3	1	2	2	2	2	1	4	3	1	1	1	6	3	1	1	2	1	1	1	1	1	1	1	1	1
OG0004038	3	1	2	1	8	4	4	2	2	2	4	1	1	1	1	1	2	2	1	3	3	0	2	4	3	1	3	1	2	2	1	2	12	3	6	1	3	1	2	1	2	1	2	0	3	3	3	1	4	3	0	2	2	0	2	1	1	1	0	1	1	2	2	2	1	2	1	9	4	6	7	6	6	6	6	6	6	6	7	6	7	2	4	1	1	1	1	2	1	1	0	5	0	2	2	2	0	4	2	2	0	3	3	3	6	1	2	1	3	3	2	2	3	1	1	1	0	1	0	0	5	2	4	0	1	2	2	5	2	0	1	3	2	2	2	2	2	2	2	1	2
OG0004039	6	2	1	2	6	3	3	2	1	1	2	1	1	1	4	1	1	2	3	1	3	3	2	3	2	2	2	2	2	2	0	1	6	1	3	2	6	2	4	1	2	1	3	2	1	1	1	2	2	6	1	5	2	2	3	0	0	2	1	4	1	1	1	2	0	1	4	5	3	4	4	4	4	4	4	4	4	4	4	4	4	1	3	1	2	2	0	0	0	0	1	2	1	1	1	1	0	4	1	1	1	3	2	2	3	0	1	1	2	2	2	1	3	0	0	1	1	0	2	2	5	0	4	1	0	1	1	2	0	2	3	3	1	1	1	1	1	1	1	2	1
OG0004040	2	1	2	1	5	2	2	2	2	2	2	3	2	2	3	1	1	1	2	2	2	3	2	3	3	2	2	4	2	2	1	1	4	1	2	4	6	2	2	2	3	2	2	1	1	3	2	2	1	6	4	5	2	1	2	1	1	2	2	2	2	1	1	4	1	2	2	5	2	6	7	7	7	7	6	7	6	7	6	7	7	2	4	3	2	2	5	3	1	2	2	3	2	2	2	3	1	5	2	2	2	5	2	3	9	2	5	2	1	4	2	2	2	1	0	3	2	3	2	2	4	4	4	0	0	3	1	5	5	2	2	3	2	2	2	2	2	2	2	2	3
OG0004041	3	1	2	2	6	3	3	4	2	2	2	2	2	2	1	3	2	3	1	2	2	1	2	5	2	1	3	3	2	2	1	2	4	2	3	2	4	3	1	2	3	2	2	2	2	2	2	1	2	3	2	3	3	2	1	1	3	1	1	1	1	3	3	4	1	2	2	6	3	6	6	6	6	6	6	6	6	6	6	6	6	2	4	3	2	1	1	1	1	0	2	3	2	1	2	2	0	6	2	2	1	7	2	3	5	1	2	2	2	3	3	2	4	1	1	1	1	1	2	2	3	2	4	2	1	2	1	5	1	2	1	2	3	3	3	3	3	3	3	2	2
OG0004042	5	1	2	1	9	4	4	2	2	2	4	1	1	2	1	1	1	3	2	2	2	2	1	4	2	1	1	4	2	2	1	3	11	3	1	1	2	1	1	1	2	2	2	1	2	2	3	1	3	3	2	4	1	2	1	0	0	1	1	1	1	2	2	0	0	1	4	8	4	6	6	6	6	6	6	6	6	6	6	6	6	2	3	2	2	2	1	0	1	0	2	3	1	1	2	1	0	6	1	2	1	4	1	3	8	0	2	2	2	1	1	1	2	1	0	3	3	1	1	2	3	2	2	1	0	2	0	6	1	2	0	2	1	2	2	2	2	2	2	2	1
OG0004043	4	1	2	2	6	3	3	2	2	2	2	2	2	2	1	2	3	2	1	2	2	2	2	4	3	1	2	5	2	2	0	2	3	0	6	2	2	2	1	2	3	2	1	2	3	3	3	2	3	3	2	3	2	2	2	1	2	2	1	1	1	2	2	5	1	2	2	6	3	6	6	6	6	6	6	7	6	6	6	6	6	2	4	3	2	7	2	1	1	1	2	3	2	1	2	2	0	4	2	3	2	4	8	4	9	1	3	2	1	3	3	2	2	0	1	2	2	1	3	2	5	2	5	2	1	2	1	4	2	2	1	3	2	2	2	2	2	2	2	2	2
OG0004044	3	1	2	1	8	4	4	3	2	2	2	3	1	1	1	1	2	3	1	1	2	1	1	5	3	1	3	5	2	1	1	4	7	3	4	1	4	3	2	1	2	1	1	1	2	2	2	1	2	2	2	3	3	1	2	1	2	1	1	1	1	1	2	4	2	2	3	8	4	6	6	6	6	6	6	6	6	6	6	6	6	2	3	1	3	1	2	2	0	2	1	4	1	2	2	2	1	6	2	2	1	6	3	2	12	1	2	2	2	3	4	2	8	1	2	4	2	3	1	2	3	3	2	0	2	2	1	6	2	1	1	2	2	2	2	2	2	2	2	2	2
OG0004045	3	2	1	1	4	2	2	2	1	1	5	1	2	1	2	2	3	2	3	1	2	2	2	4	3	2	4	3	2	2	1	2	7	2	1	2	4	2	4	2	4	1	1	1	1	1	1	1	2	6	2	6	2	2	2	2	4	3	2	2	1	1	2	4	2	1	3	4	2	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	2	2	3	2	2	2	1	2	2	1	1	1	1	3	1	1	0	4	3	2	4	2	1	2	1	2	3	1	3	1	2	0	1	2	2	2	0	3	8	2	2	1	1	3	2	4	2	1	1	1	1	1	1	1	1	1	2
OG0004046	5	1	1	1	4	2	2	1	1	5	4	0	1	1	2	1	2	2	3	2	3	1	2	2	6	1	3	4	1	4	1	1	6	2	6	1	2	1	3	1	4	3	4	1	3	3	2	1	2	3	2	3	1	2	1	2	4	2	2	1	1	1	1	2	3	1	2	4	2	3	3	3	3	3	3	3	3	3	3	3	3	1	2	1	2	2	2	3	0	4	1	2	1	1	1	1	0	3	2	1	1	2	4	1	2	2	1	1	2	2	0	1	2	1	4	2	1	2	1	4	3	4	4	2	2	1	1	3	3	2	2	2	1	1	1	1	1	1	1	1	1
OG0004047	4	2	1	2	5	2	2	2	1	3	2	1	1	1	3	1	2	1	3	1	2	1	1	3	1	3	1	6	2	2	1	1	6	2	5	2	4	2	4	1	2	1	2	2	2	2	2	3	1	6	2	7	2	1	2	3	3	1	1	2	0	1	1	4	2	1	2	4	3	4	3	3	5	4	4	4	4	5	4	4	4	1	2	1	1	1	5	4	4	1	2	2	1	1	1	1	2	3	0	1	0	3	2	1	2	1	1	1	2	2	4	1	6	1	2	2	1	2	1	1	2	2	2	0	3	1	0	2	1	1	2	2	1	1	1	1	1	1	1	1	1
OG0004048	7	1	1	1	2	1	1	3	1	2	2	1	4	3	2	3	4	1	1	2	5	4	2	7	1	1	1	2	3	5	1	1	6	2	4	1	3	3	1	2	3	3	3	1	1	1	2	1	1	3	2	3	2	2	1	2	2	1	2	3	1	1	0	10	2	1	1	2	1	4	4	4	4	3	4	4	4	4	4	4	4	1	2	3	2	3	1	2	0	0	3	1	2	1	1	1	0	1	1	1	2	6	2	2	4	0	1	1	1	2	3	1	3	1	2	1	1	3	2	3	3	2	4	0	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0004049	5	1	1	0	2	1	1	1	1	3	4	1	1	2	3	1	1	2	3	3	6	3	3	1	4	1	2	2	1	2	1	2	10	2	5	1	6	1	2	2	4	2	2	1	3	3	3	1	1	3	2	2	1	2	3	1	5	3	1	2	3	1	1	2	0	1	0	2	1	3	3	3	3	3	3	3	3	3	3	3	3	1	3	2	1	1	0	1	0	0	2	1	1	2	1	0	0	1	0	0	1	1	3	1	3	1	1	1	1	1	1	2	3	1	0	1	1	1	2	3	0	1	4	1	0	1	0	2	0	4	2	1	0	0	1	0	0	2	2	1	0
OG0004050	1	2	2	2	8	3	3	5	2	2	2	2	1	1	3	1	1	4	3	1	1	1	1	4	1	2	1	2	2	2	1	2	6	2	4	2	3	2	3	1	2	1	2	1	2	2	2	1	2	6	5	4	2	1	2	2	4	2	1	2	1	2	2	5	3	3	3	9	3	6	6	6	6	6	6	6	6	6	6	6	6	2	6	1	2	1	1	2	2	2	1	4	1	2	2	2	4	6	2	2	1	5	3	3	7	2	8	17	2	3	4	2	6	1	2	4	2	1	1	2	5	2	2	0	3	2	2	3	1	1	1	3	2	2	2	2	2	2	2	2	1
OG0004051	2	1	2	1	4	2	2	3	2	2	1	1	2	2	1	2	3	1	2	2	1	4	2	6	3	1	1	2	1	4	1	2	9	3	4	2	4	3	2	2	3	2	2	1	2	2	2	1	2	3	2	3	3	2	2	1	3	1	2	1	1	2	2	4	1	2	1	4	2	6	6	6	6	5	6	6	6	6	6	6	6	2	4	2	2	1	2	1	0	0	2	2	2	2	2	2	1	3	2	2	2	6	2	3	3	1	2	2	2	2	4	2	4	1	1	3	2	1	5	2	3	4	6	2	0	2	1	3	1	2	1	3	2	2	2	2	2	2	2	2	1
OG0004052	2	2	2	2	6	3	3	2	2	2	2	1	1	1	1	1	2	2	2	1	3	3	1	3	3	2	2	2	1	2	1	1	8	2	4	2	6	2	2	1	2	1	2	2	1	1	2	2	1	6	4	6	2	1	3	1	3	2	1	2	2	2	2	4	1	2	4	6	3	6	7	7	6	6	7	7	6	6	7	6	7	2	4	1	1	1	2	3	1	1	1	3	1	2	2	2	4	6	2	3	1	4	2	3	14	1	1	1	2	3	2	2	2	1	2	4	2	1	1	2	2	2	2	1	0	2	1	5	2	1	2	2	2	2	2	2	2	2	2	1	1
OG0004053	4	2	2	2	5	3	3	1	2	2	2	1	1	1	2	1	2	1	2	3	5	3	2	2	3	2	2	4	1	2	1	1	6	2	4	2	6	1	2	1	1	1	1	2	1	3	2	2	1	6	4	5	1	1	2	3	3	2	1	2	2	1	1	2	2	2	4	8	3	6	6	6	6	6	6	6	6	6	6	6	6	2	6	1	1	1	3	2	1	1	1	3	1	4	2	2	2	5	2	2	2	3	3	2	7	1	2	2	2	2	2	2	3	1	5	2	2	1	1	2	5	6	4	2	2	2	0	4	5	1	1	1	2	2	2	2	2	2	2	1	1
OG0004054	2	3	2	3	4	2	2	1	2	0	1	2	2	2	1	1	3	0	2	2	8	6	1	2	3	3	2	2	2	1	0	1	8	3	2	3	2	1	2	1	1	1	1	2	0	0	0	3	2	8	4	9	1	1	4	0	0	2	1	1	2	2	2	4	0	2	2	4	2	6	5	6	5	5	6	5	6	5	6	6	6	2	4	1	3	1	0	0	0	0	1	2	1	2	2	2	0	5	2	1	2	3	3	1	7	0	1	1	3	2	4	2	1	0	0	2	2	1	1	1	3	0	2	1	0	3	0	3	0	0	2	2	2	2	2	2	2	2	2	1	1
OG0004055	4	1	1	1	7	3	3	2	1	1	2	3	1	3	2	1	2	2	2	1	4	1	2	4	2	2	2	2	3	2	1	2	6	2	2	1	5	2	3	4	3	1	2	2	1	1	1	2	1	4	3	5	2	2	2	3	3	1	1	1	1	1	1	4	1	1	1	6	3	3	3	3	3	3	3	3	3	3	3	3	3	1	3	1	4	1	6	2	1	1	3	3	1	1	2	1	0	5	1	1	2	4	3	3	2	1	12	2	2	2	4	1	2	1	3	2	1	4	1	1	2	8	2	3	1	1	1	5	2	1	1	1	1	1	1	1	1	1	1	3	2
OG0004056	1	5	1	3	4	2	2	2	2	2	2	1	1	1	3	1	2	2	4	1	6	1	1	3	2	2	2	2	1	2	0	2	9	3	3	2	4	2	4	1	2	1	2	3	2	2	2	2	1	5	2	3	2	2	2	2	2	1	1	1	3	1	1	1	0	1	2	4	2	6	6	6	6	6	6	6	6	4	5	4	6	2	2	1	1	1	1	2	1	0	1	2	1	2	1	1	0	2	1	1	2	2	2	2	2	1	1	1	1	2	1	1	3	0	1	2	1	2	1	2	2	1	4	1	1	1	1	4	0	1	1	2	1	1	1	1	1	1	1	1	1
OG0004057	1	2	3	2	8	3	4	1	3	2	4	1	2	1	1	2	1	2	1	1	5	1	1	1	4	2	3	2	1	1	0	1	3	1	4	2	4	1	1	0	0	1	4	2	3	3	3	2	1	6	4	8	4	1	2	1	1	2	1	1	0	3	3	10	1	3	5	7	4	9	9	9	9	9	9	9	9	9	9	9	9	3	6	1	1	1	3	1	2	0	1	5	1	0	3	3	0	6	3	3	2	2	1	3	15	1	1	2	2	4	1	3	1	0	2	2	2	1	1	1	4	2	2	0	1	3	1	7	1	1	1	2	4	3	3	3	3	3	3	1	0
OG0004058	2	2	2	2	6	4	3	1	2	2	3	1	1	1	2	1	1	3	2	1	4	1	1	2	2	2	2	2	1	3	1	1	8	3	4	1	4	1	2	1	2	1	2	1	3	3	3	1	1	6	4	6	2	2	2	2	5	2	3	2	1	2	2	1	2	2	2	5	2	6	6	6	7	7	6	6	6	6	6	6	6	2	4	1	1	1	1	3	1	2	1	2	1	2	2	2	0	2	2	2	2	4	2	3	5	2	1	2	2	3	3	1	2	1	2	3	3	2	1	1	4	3	2	2	1	2	1	3	3	0	1	3	2	2	2	2	2	2	2	3	2
OG0004059	2	3	1	2	2	1	1	4	1	1	2	1	2	1	1	3	3	2	1	3	1	2	2	2	4	3	2	2	1	1	1	1	3	1	6	2	4	2	1	1	1	1	1	4	2	2	2	3	1	9	6	9	3	2	2	1	4	1	2	1	1	1	1	7	2	1	3	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	1	1	5	2	1	1	1	1	2	2	1	1	0	1	1	1	3	2	1	1	9	1	4	2	1	1	1	1	5	1	2	1	1	2	1	1	3	2	4	1	0	1	3	1	1	1	1	2	1	1	1	1	1	1	1	1	1
OG0004060	2	2	2	2	6	3	3	2	2	2	2	2	1	2	3	1	2	2	2	1	2	3	1	4	3	2	2	3	2	2	1	2	6	2	2	2	3	2	2	2	4	1	2	1	1	2	1	1	2	6	4	6	2	1	1	3	6	2	1	3	1	2	2	2	4	2	3	6	3	6	6	6	6	6	6	6	6	6	6	6	6	2	2	2	1	2	1	4	1	0	2	3	1	4	1	1	0	3	2	1	1	4	4	2	6	1	2	2	1	2	4	1	1	1	3	1	1	2	1	2	3	2	6	1	3	2	3	3	2	1	1	2	2	2	2	2	2	2	2	5	3
OG0004061	2	2	2	2	5	1	2	3	2	1	2	2	1	2	1	1	2	1	2	2	2	1	3	3	2	2	2	2	2	3	1	2	9	3	2	2	4	2	2	2	2	1	1	2	1	1	1	2	2	7	4	7	2	2	3	1	1	1	4	4	1	1	2	4	1	1	3	2	2	6	5	5	5	5	5	5	4	4	4	5	5	2	4	2	3	2	1	1	2	1	2	1	1	1	1	1	3	2	0	1	1	3	2	4	2	1	2	2	1	1	2	2	4	1	0	1	1	1	1	2	2	1	4	2	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	2	2
OG0004062	2	2	2	2	7	2	2	2	2	1	1	2	1	1	3	1	2	1	2	1	4	2	1	4	3	2	2	5	2	2	0	2	6	2	4	2	4	2	2	1	2	1	1	2	2	2	2	2	3	5	3	5	2	1	3	0	0	2	1	1	1	2	3	2	0	2	0	4	2	6	5	6	6	6	6	6	6	6	6	6	6	2	5	1	1	1	0	0	0	0	1	2	1	2	2	2	0	4	2	2	1	4	1	3	9	0	2	2	1	3	4	2	2	0	0	1	2	1	1	2	2	0	2	1	0	2	0	2	0	1	1	1	2	2	2	2	2	2	2	2	1
OG0004063	2	2	1	2	4	2	2	2	1	1	2	1	2	1	1	2	4	2	2	1	3	2	1	4	2	2	1	4	2	2	1	1	15	5	2	2	2	1	1	1	2	1	2	2	1	1	1	2	1	6	4	6	2	1	4	4	3	1	1	1	2	1	1	2	0	1	1	3	2	3	3	3	3	3	3	3	3	3	3	3	3	1	3	1	1	1	0	1	0	0	1	2	2	1	1	1	0	2	1	1	6	4	2	1	3	0	1	1	1	2	4	1	2	1	1	0	1	8	1	2	1	0	2	1	1	1	3	4	0	1	1	1	1	1	1	1	1	1	1	1	2
OG0004064	2	2	2	2	6	4	4	2	2	2	2	2	1	1	1	1	2	3	1	1	3	1	1	4	1	1	1	1	2	2	1	2	9	2	4	1	2	2	2	1	2	1	2	2	3	3	3	1	2	6	1	9	2	1	3	1	12	2	2	2	1	2	2	2	6	2	2	9	4	6	6	6	6	6	6	6	6	6	6	6	6	2	3	1	1	1	8	8	0	0	0	4	1	1	1	2	0	7	1	2	17	5	3	3	5	0	3	2	2	3	4	2	2	4	2	3	3	8	2	3	4	16	2	1	4	2	10	7	8	2	2	2	2	2	2	2	2	2	2	2	1
OG0004065	3	3	1	3	4	2	2	2	2	1	2	1	1	1	1	1	2	3	2	2	2	1	1	2	1	3	1	4	2	2	1	1	9	3	2	2	4	2	2	1	2	1	2	2	1	1	1	2	1	8	6	9	2	2	2	2	2	2	1	1	2	2	2	12	3	2	2	4	2	3	3	3	4	4	3	3	3	3	3	3	3	2	3	1	1	1	1	2	1	0	1	2	1	2	2	2	0	3	2	2	3	4	3	2	6	1	1	2	2	3	3	2	2	1	3	3	2	1	1	2	3	2	2	0	1	2	3	3	3	4	1	3	2	2	2	2	2	2	2	1	1
OG0004066	3	1	2	2	2	1	1	2	2	2	2	2	2	1	1	3	3	4	1	1	6	1	2	4	4	1	2	2	3	3	1	3	3	0	4	2	6	3	2	2	2	1	2	2	2	2	2	3	3	4	3	4	2	2	1	1	1	1	1	1	1	4	4	9	2	3	2	7	3	11	11	11	11	12	11	10	10	11	10	10	11	3	3	2	3	3	3	1	1	1	4	2	4	1	3	2	1	7	2	3	1	6	3	2	12	1	8	3	2	3	3	3	8	1	2	1	2	1	4	1	5	1	4	5	1	3	2	4	3	2	1	3	3	3	3	3	3	3	3	3	1
OG0004067	4	1	1	1	5	2	2	4	1	1	2	4	4	2	2	1	1	2	1	1	4	2	1	5	7	1	2	2	5	3	0	4	6	3	2	1	3	3	2	1	2	2	2	1	1	1	1	1	2	3	2	3	3	1	3	0	0	1	2	1	0	0	0	9	0	1	0	0	0	3	3	3	3	3	3	3	3	3	3	3	3	1	2	2	3	1	0	0	0	0	2	0	1	1	0	1	0	0	0	0	1	11	4	0	1	0	3	5	0	1	4	0	4	0	0	0	1	0	3	2	0	0	6	2	0	0	0	0	0	2	0	0	1	1	1	1	1	1	1	2	0
OG0004068	2	3	1	2	5	3	2	2	3	2	4	1	1	2	2	1	1	4	1	2	2	3	1	2	2	2	1	4	1	1	1	4	5	1	3	1	3	1	1	2	4	1	2	1	2	2	3	1	3	8	4	7	1	2	1	2	5	1	3	1	1	2	1	4	1	2	3	5	3	3	3	2	3	3	3	3	3	3	3	3	3	2	1	1	6	4	4	2	0	3	2	2	3	1	2	1	4	5	1	1	2	2	1	1	6	3	2	2	1	1	3	1	2	1	1	1	0	2	2	2	4	4	2	1	2	1	2	6	7	1	2	1	2	2	2	2	2	2	2	2	1
OG0004069	5	1	2	1	6	3	3	1	2	2	2	2	2	1	3	2	4	2	3	1	4	2	1	2	3	1	3	3	1	2	1	2	9	3	5	1	3	1	3	1	2	1	2	1	2	2	2	1	3	3	2	3	1	1	2	2	5	2	1	1	1	2	2	4	2	2	3	6	3	6	6	6	6	6	6	6	6	6	6	6	6	2	5	1	1	1	1	2	2	1	1	3	2	1	2	2	0	3	2	2	0	2	5	2	8	1	4	4	1	3	3	2	3	1	2	2	1	1	1	2	4	3	2	1	3	2	0	3	2	1	1	3	2	2	2	2	2	2	2	5	1
OG0004070	2	1	2	1	4	2	2	2	2	3	3	2	1	2	2	1	1	3	2	1	5	2	1	3	2	1	1	3	5	2	0	5	6	2	5	1	5	4	2	2	2	3	2	1	2	2	2	1	2	3	2	3	2	2	2	1	2	1	1	2	1	2	3	4	1	4	1	4	2	4	4	4	5	5	4	3	4	5	3	5	4	2	3	2	1	2	0	1	1	1	2	2	1	1	2	2	2	6	2	2	1	4	2	3	7	1	3	3	2	3	2	2	2	0	1	3	2	1	6	1	3	0	2	0	2	2	1	3	3	4	1	3	2	2	2	2	2	2	2	3	0
OG0004071	2	2	1	2	2	1	1	2	1	2	4	2	2	2	2	2	3	3	2	2	2	1	2	4	2	2	2	1	2	2	0	2	5	3	2	2	4	2	2	2	3	2	3	2	2	2	2	2	3	6	4	5	2	2	3	0	1	2	2	4	3	1	1	4	2	1	1	2	1	3	3	3	3	3	2	3	3	3	3	3	3	1	1	2	2	2	0	0	0	0	2	1	2	3	1	1	0	2	1	1	2	4	2	0	1	0	2	2	1	1	4	1	4	0	0	1	0	2	2	3	0	0	4	2	1	1	1	1	0	1	1	2	1	1	1	1	1	1	1	2	0
OG0004072	2	2	2	2	10	4	3	3	2	1	4	2	2	1	1	1	1	2	2	1	4	3	1	3	2	2	1	2	1	2	1	1	6	2	2	1	2	2	3	1	2	1	2	2	1	1	1	2	2	6	4	6	2	1	4	1	5	2	1	2	1	2	2	2	1	2	4	8	3	6	6	6	6	6	6	6	6	6	6	6	6	3	5	1	1	1	2	1	1	2	1	5	1	1	2	3	2	6	2	2	1	4	2	2	8	1	5	10	1	4	3	2	2	1	2	2	2	2	1	2	9	2	2	1	7	2	1	6	1	1	2	2	2	2	2	2	2	2	2	2	2
OG0004073	1	4	2	1	11	4	5	1	2	1	4	1	0	3	1	0	0	1	1	2	0	1	1	1	8	2	3	2	2	1	0	2	4	1	2	2	2	1	0	3	2	1	3	2	1	1	1	2	1	12	4	11	1	1	1	1	9	2	1	1	0	2	2	5	2	2	2	9	5	6	6	6	6	6	6	6	6	6	6	6	6	2	5	1	1	1	0	4	5	0	3	5	0	0	2	2	0	8	2	3	3	1	2	6	6	10	1	1	2	3	2	2	1	0	5	3	2	5	1	1	5	0	6	2	3	2	3	9	0	2	1	3	2	2	2	2	2	2	2	1	2
